id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1403863654303473668,1403817438437949440,2021-06-12 20:55:52 Hora oficial do Brasil,2021-06-12,20:55:52,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,https://t.co/yasmNrLKc9,und,[],[],[],1658,5987,30368,[],[],https://twitter.com/jairbolsonaro/status/1403863654303473668,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1403863599001620480/pu/img/k1rKeOcskhkiqYTA.jpg,,,,,,,[],,,,
1403817438437949440,1403817438437949440,2021-06-12 17:52:13 Hora oficial do Brasil,2021-06-12,17:52:13,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,- BRASIL ACIMA DE TUDO! DEUS ACIMA DE TODOS! 🏍️🇧🇷  https://t.co/KESxPqAInc,pt,[],[],['https://pbs.twimg.com/media/E3tchEhXwAQKYRP.jpg'],6246,14695,77921,[],[],https://twitter.com/jairbolsonaro/status/1403817438437949440,FALSE,,1,https://pbs.twimg.com/media/E3tchEhXwAQKYRP.jpg,,,,,,,[],,,,
1403782495691214855,1403782495691214855,2021-06-12 15:33:22 Hora oficial do Brasil,2021-06-12,15:33:22,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,- Maior passeio motociclístico do Brasil. - Obrigado São Paulo. - Presidente Jair Bolsonaro.  https://t.co/UAK65z2Z7X,pt,[],[],[],4913,11262,52515,[],[],https://twitter.com/jairbolsonaro/status/1403782495691214855,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1403782219446030338/pu/img/FwG_gVpv69Y2u_kf.jpg,,,,,,,[],,,,
1403652101625028608,1403652101625028608,2021-06-12 06:55:14 Hora oficial do Brasil,2021-06-12,06:55:14,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,"- Entrega de residências em São Mateus/ES. - Logo mais, às 08 horas, solenidade de entrega de boinas aos novos alunos do Colégio Militar de São Paulo. - E, às 10 horas, passeio de motocicleta em São Paulo.  . Mais informações diárias em nosso Telegram: “Jair M. Bolsonaro 1”  https://t.co/vhk8PZJEFv",pt,[],[],[],1073,3578,19702,[],[],https://twitter.com/jairbolsonaro/status/1403652101625028608,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1403651907290374145/pu/img/clEyyF6YRW3c5keJ.jpg,,,,,,,[],,,,
1403481587023482880,1403481587023482880,2021-06-11 19:37:40 Hora oficial do Brasil,2021-06-11,19:37:40,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,- Aeroporto de Vitória/ES. - Obrigado Espírito Santo.  https://t.co/2jWuqqYboz,pt,[],[],[],2891,7579,40166,[],[],https://twitter.com/jairbolsonaro/status/1403481587023482880,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1403481564579864577/pu/img/rZrncMtcgW5LSkNJ.jpg,,,,,,,[],,,,
1403472410209312769,1403472410209312769,2021-06-11 19:01:12 Hora oficial do Brasil,2021-06-11,19:01:12,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,- Eu sei.  https://t.co/LaHnTTJpdS,pt,[],[],['https://pbs.twimg.com/media/E3oit4VWQAA-pby.jpg'],7372,10055,61093,[],[],https://twitter.com/jairbolsonaro/status/1403472410209312769,FALSE,https://twitter.com/haddad_fernando/status/1403442320322797571,1,https://pbs.twimg.com/media/E3oit4VWQAA-pby.jpg,,,,,,,[],,,,
1403427716154769409,1403403350209609737,2021-06-11 16:03:36 Hora oficial do Brasil,2021-06-11,16:03:36,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,https://t.co/9vB51MDSSq,und,[],[],[],1112,2353,14351,[],[],https://twitter.com/jairbolsonaro/status/1403427716154769409,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1403427602124128262/pu/img/IbeZXAYMkCMXvXum.jpg,,,,,,,[],,,,
1403420150569766922,1403403350209609737,2021-06-11 15:33:32 Hora oficial do Brasil,2021-06-11,15:33:32,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,- São Mateus / ES:  https://t.co/xkdeD5RZWz,pt,[],[],[],522,2355,14006,[],[],https://twitter.com/jairbolsonaro/status/1403420150569766922,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1403420085520306177/pu/img/4I2QE27SXTU524qf.jpg,,,,,,,[],,,,
1403403350209609737,1403403350209609737,2021-06-11 14:26:47 Hora oficial do Brasil,2021-06-11,14:26:47,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,- Chegada em Vitória / ES (11/06/2021)  - Em direção à São Mateus / ES para entrega de moradias para mais de 400 famílias mais humildes.  https://t.co/nL64sOUG5f,pt,[],[],[],2002,5202,26659,[],[],https://twitter.com/jairbolsonaro/status/1403403350209609737,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1403402534983770117/pu/img/HAH9Eb3c6c-IFTil.jpg,,,,,,,[],,,,
1403373899174363145,1403372668787830787,2021-06-11 12:29:45 Hora oficial do Brasil,2021-06-11,12:29:45,-300,128372940,jairbolsonaro,Jair M. Bolsonaro,,"- São 15 destinos no AM. Além dos 4 municípios que já recebem voos regularmente, será feita a reativação para Coari, Lábrea e Maués. Já os 8 novos serão para Eirunepé, Barcelos, Apuí, Itacoatiara, Humaitá, Borba, Novo Aripuanã e São Gabriel da Cachoeira. @aviacaodobrasil  https://t.co/h2SZ1KxARx",pt,"[{'screen_name': 'aviacaodobrasil', 'name': 'aviação do brasil', 'id': '1286727673'}]",[],['https://pbs.twimg.com/media/E3nJHxRWYAUlmgl.jpg'],150,1150,6620,[],[],https://twitter.com/jairbolsonaro/status/1403373899174363145,FALSE,,1,https://pbs.twimg.com/media/E3nJHxRWYAUlmgl.jpg,,,,,,,[],,,,
